Employee_ID,Employee_Name,Department,City,Salary,Joining_Year
E101,  rohit sharma ,IT,Mumbai,55000,2020
E106,RAHUL JAIN,Finance,Mumbai,62000,2017
E109,rohit sharma,IT,Mumbai,55000,2020
E112,pooja mehta,HR,Mumbai,43000,2020
E116,Arjun Patel,Finance,Mumbai,67000,2017
E119,Rohit Sharma,IT,Mumbai,55000,2020
E123,Vinod Nair,Finance,Mumbai,66000,2017
E125,Nitin Deshmukh,HR,Mumbai,42000,2019
E130,Kiran Pawar,IT,Mumbai,56000,2022
E133,Rohit Sharma,IT,Mumbai,55000,2020
E137,Reena Shah,HR,Mumbai,44000,2020
E141,Ashok Verma,Finance,Mumbai,67000,2017
E145,Rohit Sharma,IT,Mumbai,55000,2020
E149,Neha Patil,HR,Mumbai,43000,2019
